a	a	1
a	b	3
a	c	3
a	d	4
a	e	3
a	f	4
a	g	1
a	h	5
a	i	5
a	j	2
a	k	5
a	l	2
a	m	3
a	n	2
a	o	4
a	p	3
a	q	1
a	r	4
a	s	5
a	t	1
a	u	1
a	v	5
a	w	4
a	x	4
a	y	2
a	z	1
b	a	5
b	b	4
b	c	4
b	d	2
b	e	3
b	f	2
b	g	2
b	h	5
b	i	1
b	j	3
b	k	1
b	l	4
b	m	2
b	n	4
b	o	5
b	p	5
b	q	5
b	r	1
b	s	4
b	t	2
b	u	5
b	v	2
b	w	4
b	x	1
b	y	3
b	z	3
c	a	5
c	b	3
c	c	5
c	d	3
c	e	3
c	f	3
c	g	2
c	h	5
c	i	3
c	j	1
c	k	4
c	l	4
c	m	1
c	n	3
c	o	5
c	p	1
c	q	2
c	r	4
c	s	5
c	t	2
c	u	1
c	v	4
c	w	5
c	x	2
c	y	1
c	z	4
d	a	4
d	b	4
d	c	5
d	d	5
d	e	5
d	f	3
d	g	4
d	h	2
d	i	5
d	j	4
d	k	1
d	l	5
d	m	2
d	n	5
d	o	2
d	p	2
d	q	4
d	r	5
d	s	2
d	t	3
d	u	5
d	v	1
d	w	4
d	x	5
d	y	4
d	z	4
e	a	2
e	b	2
e	c	1
e	d	2
e	e	3
e	f	4
e	g	3
e	h	1
e	i	1
e	j	3
e	k	2
e	l	3
e	m	1
e	n	1
e	o	1
e	p	5
e	q	3
e	r	2
e	s	2
e	t	5
e	u	3
e	v	2
e	w	2
e	x	1
e	y	3
e	z	4
f	a	5
f	b	1
f	c	2
f	d	4
f	e	5
f	f	1
f	g	4
f	h	4
f	i	4
f	j	3
f	k	2
f	l	2
f	m	2
f	n	3
f	o	5
f	p	1
f	q	4
f	r	1
f	s	1
f	t	2
f	u	5
f	v	1
f	w	5
f	x	4
f	y	5
f	z	2
g	a	1
g	b	1
g	c	2
g	d	2
g	e	5
g	f	4
g	g	4
g	h	5
g	i	4
g	j	5
g	k	4
g	l	2
g	m	3
g	n	1
g	o	4
g	p	5
g	q	4
g	r	4
g	s	1
g	t	2
g	u	1
g	v	4
g	w	5
g	x	4
g	y	2
g	z	5
h	a	4
h	b	2
h	c	1
h	d	3
h	e	4
h	f	1
h	g	3
h	h	2
h	i	5
h	j	4
h	k	2
h	l	3
h	m	4
h	n	4
h	o	5
h	p	5
h	q	2
h	r	4
h	s	3
h	t	2
h	u	5
h	v	2
h	w	2
h	x	4
h	y	4
h	z	4
i	a	2
i	b	1
i	c	5
i	d	3
i	e	2
i	f	5
i	g	2
i	h	1
i	i	4
i	j	1
i	k	1
i	l	3
i	m	4
i	n	3
i	o	3
i	p	5
i	q	3
i	r	2
i	s	1
i	t	5
i	u	1
i	v	4
i	w	3
i	x	4
i	y	4
i	z	5
j	a	4
j	b	2
j	c	4
j	d	4
j	e	3
j	f	2
j	g	1
j	h	3
j	i	3
j	j	2
j	k	4
j	l	3
j	m	1
j	n	4
j	o	1
j	p	1
j	q	5
j	r	1
j	s	2
j	t	2
j	u	4
j	v	1
j	w	3
j	x	4
j	y	1
j	z	4
k	a	3
k	b	3
k	c	3
k	d	5
k	e	3
k	f	2
k	g	1
k	h	5
k	i	2
k	j	3
k	k	4
k	l	5
k	m	2
k	n	4
k	o	5
k	p	2
k	q	2
k	r	1
k	s	3
k	t	4
k	u	5
k	v	2
k	w	1
k	x	3
k	y	5
k	z	4
l	a	3
l	b	1
l	c	3
l	d	4
l	e	5
l	f	3
l	g	1
l	h	3
l	i	2
l	j	1
l	k	3
l	l	3
l	m	4
l	n	3
l	o	4
l	p	3
l	q	4
l	r	3
l	s	3
l	t	5
l	u	4
l	v	4
l	w	3
l	x	5
l	y	1
l	z	3
m	a	1
m	b	4
m	c	2
m	d	3
m	e	1
m	f	2
m	g	5
m	h	4
m	i	3
m	j	4
m	k	1
m	l	2
m	m	2
m	n	1
m	o	2
m	p	3
m	q	4
m	r	3
m	s	5
m	t	1
m	u	4
m	v	2
m	w	5
m	x	5
m	y	4
m	z	5
n	a	1
n	b	2
n	c	3
n	d	5
n	e	3
n	f	4
n	g	5
n	h	4
n	i	1
n	j	4
n	k	2
n	l	5
n	m	2
n	n	4
n	o	2
n	p	3
n	q	4
n	r	3
n	s	1
n	t	4
n	u	3
n	v	2
n	w	1
n	x	2
n	y	2
n	z	5
o	a	3
o	b	2
o	c	5
o	d	4
o	e	1
o	f	3
o	g	2
o	h	2
o	i	3
o	j	5
o	k	4
o	l	5
o	m	3
o	n	5
o	o	4
o	p	5
o	q	3
o	r	2
o	s	5
o	t	2
o	u	3
o	v	2
o	w	2
o	x	5
o	y	4
o	z	5
p	a	3
p	b	5
p	c	4
p	d	2
p	e	5
p	f	2
p	g	2
p	h	2
p	i	3
p	j	1
p	k	1
p	l	5
p	m	3
p	n	4
p	o	4
p	p	4
p	q	3
p	r	3
p	s	3
p	t	2
p	u	4
p	v	3
p	w	4
p	x	2
p	y	3
p	z	1
q	a	3
q	b	5
q	c	4
q	d	4
q	e	3
q	f	4
q	g	5
q	h	2
q	i	2
q	j	5
q	k	2
q	l	2
q	m	2
q	n	2
q	o	5
q	p	5
q	q	4
q	r	1
q	s	2
q	t	5
q	u	4
q	v	4
q	w	2
q	x	4
q	y	4
q	z	2
r	a	4
r	b	5
r	c	3
r	d	4
r	e	1
r	f	3
r	g	4
r	h	2
r	i	5
r	j	4
r	k	2
r	l	5
r	m	3
r	n	2
r	o	5
r	p	3
r	q	4
r	r	4
r	s	3
r	t	1
r	u	5
r	v	5
r	w	4
r	x	3
r	y	3
r	z	2
s	a	5
s	b	4
s	c	5
s	d	4
s	e	1
s	f	1
s	g	5
s	h	2
s	i	2
s	j	2
s	k	4
s	l	1
s	m	1
s	n	1
s	o	4
s	p	4
s	q	5
s	r	3
s	s	4
s	t	2
s	u	2
s	v	5
s	w	2
s	x	5
s	y	3
s	z	3
t	a	2
t	b	1
t	c	5
t	d	5
t	e	2
t	f	1
t	g	1
t	h	5
t	i	5
t	j	4
t	k	4
t	l	1
t	m	3
t	n	3
t	o	2
t	p	2
t	q	5
t	r	1
t	s	5
t	t	1
t	u	3
t	v	4
t	w	4
t	x	1
t	y	5
t	z	3
u	a	5
u	b	4
u	c	5
u	d	4
u	e	3
u	f	2
u	g	5
u	h	3
u	i	3
u	j	5
u	k	1
u	l	5
u	m	3
u	n	2
u	o	2
u	p	1
u	q	3
u	r	2
u	s	5
u	t	4
u	u	3
u	v	5
u	w	4
u	x	4
u	y	4
u	z	2
v	a	3
v	b	1
v	c	4
v	d	1
v	e	1
v	f	1
v	g	3
v	h	5
v	i	3
v	j	4
v	k	1
v	l	2
v	m	1
v	n	3
v	o	5
v	p	1
v	q	1
v	r	5
v	s	5
v	t	5
v	u	3
v	v	3
v	w	4
v	x	4
v	y	1
v	z	1
w	a	4
w	b	4
w	c	2
w	d	4
w	e	5
w	f	4
w	g	3
w	h	2
w	i	4
w	j	1
w	k	2
w	l	4
w	m	2
w	n	4
w	o	5
w	p	1
w	q	1
w	r	3
w	s	3
w	t	4
w	u	5
w	v	3
w	w	5
w	x	4
w	y	2
w	z	5
x	a	1
x	b	4
x	c	1
x	d	2
x	e	5
x	f	5
x	g	1
x	h	3
x	i	4
x	j	3
x	k	5
x	l	3
x	m	4
x	n	4
x	o	4
x	p	1
x	q	4
x	r	3
x	s	3
x	t	3
x	u	5
x	v	5
x	w	1
x	x	4
x	y	5
x	z	2
y	a	1
y	b	1
y	c	2
y	d	3
y	e	2
y	f	1
y	g	2
y	h	2
y	i	3
y	j	4
y	k	5
y	l	2
y	m	5
y	n	4
y	o	3
y	p	5
y	q	1
y	r	2
y	s	4
y	t	1
y	u	5
y	v	1
y	w	2
y	x	2
y	y	5
y	z	5
z	a	3
z	b	1
z	c	5
z	d	4
z	e	2
z	f	2
z	g	4
z	h	1
z	i	5
z	j	4
z	k	5
z	l	2
z	m	5
z	n	2
z	o	4
z	p	1
z	q	3
z	r	5
z	s	5
z	t	2
z	u	2
z	v	4
z	w	2
z	x	5
z	y	3
z	z	5
