a	a	1
a	b	4
a	c	3
a	d	3
a	e	3
a	f	1
a	g	1
a	h	5
a	i	5
a	j	1
a	k	3
a	l	2
a	m	3
a	n	1
a	o	4
a	p	3
a	q	5
a	r	4
a	s	4
a	t	3
a	u	4
a	v	3
a	w	3
a	x	5
a	y	3
a	z	2
a	ä	4
a	ö	1
a	ü	2
a	ß	1
b	a	3
b	b	3
b	c	1
b	d	2
b	e	4
b	f	5
b	g	2
b	h	5
b	i	5
b	j	3
b	k	2
b	l	1
b	m	5
b	n	1
b	o	4
b	p	1
b	q	5
b	r	1
b	s	4
b	t	2
b	u	5
b	v	5
b	w	4
b	x	1
b	y	5
b	z	1
b	ä	3
b	ö	4
b	ü	3
b	ß	2
c	a	5
c	b	5
c	c	5
c	d	3
c	e	4
c	f	4
c	g	5
c	h	5
c	i	5
c	j	3
c	k	5
c	l	5
c	m	1
c	n	1
c	o	3
c	p	3
c	q	2
c	r	2
c	s	5
c	t	5
c	u	2
c	v	4
c	w	5
c	x	3
c	y	3
c	z	1
c	ä	1
c	ö	3
c	ü	1
c	ß	1
d	a	1
d	b	2
d	c	4
d	d	1
d	e	4
d	f	3
d	g	1
d	h	4
d	i	2
d	j	5
d	k	3
d	l	3
d	m	3
d	n	4
d	o	2
d	p	1
d	q	5
d	r	1
d	s	4
d	t	4
d	u	1
d	v	4
d	w	1
d	x	1
d	y	1
d	z	5
d	ä	2
d	ö	5
d	ü	1
d	ß	1
e	a	1
e	b	2
e	c	3
e	d	1
e	e	5
e	f	3
e	g	3
e	h	5
e	i	4
e	j	4
e	k	3
e	l	5
e	m	5
e	n	4
e	o	2
e	p	1
e	q	4
e	r	4
e	s	4
e	t	3
e	u	3
e	v	3
e	w	5
e	x	3
e	y	2
e	z	3
e	ä	3
e	ö	1
e	ü	1
e	ß	2
f	a	2
f	b	5
f	c	2
f	d	2
f	e	2
f	f	2
f	g	4
f	h	3
f	i	4
f	j	4
f	k	3
f	l	3
f	m	4
f	n	5
f	o	4
f	p	5
f	q	1
f	r	5
f	s	3
f	t	4
f	u	1
f	v	4
f	w	3
f	x	4
f	y	1
f	z	4
f	ä	4
f	ö	5
f	ü	2
f	ß	1
g	a	2
g	b	2
g	c	4
g	d	4
g	e	1
g	f	5
g	g	4
g	h	5
g	i	5
g	j	4
g	k	3
g	l	2
g	m	2
g	n	3
g	o	2
g	p	3
g	q	2
g	r	4
g	s	2
g	t	1
g	u	1
g	v	5
g	w	5
g	x	2
g	y	1
g	z	3
g	ä	1
g	ö	2
g	ü	2
g	ß	1
h	a	1
h	b	5
h	c	1
h	d	1
h	e	2
h	f	1
h	g	3
h	h	2
h	i	5
h	j	3
h	k	5
h	l	1
